miRNA	status	mi-acc	5p-acc	3p-acc	div
mir-627	white	MI0003641	MIMAT0003296	MIMAT0026623	
mir-628	white	MI0003642	MIMAT0004809	MIMAT0003297	
mir-629	white	MI0003643	MIMAT0004810	MIMAT0003298	
mir-641	white	MI0003656			MIMAT0003311
mir-642a	white	MI0003657	MIMAT0003312	MIMAT0020924	
mir-651	white	MI0003666	MIMAT0003321	MIMAT0026624	
mir-652	white	MI0003667	MIMAT0022709	MIMAT0003322	
mir-653	white	MI0003674	MIMAT0003328	MIMAT0026625	
mir-654	white	MI0003676	MIMAT0003330	MIMAT0004814	
mir-655	white	MI0003677	MIMAT0026626	MIMAT0003331	
mir-656	white	MI0003678	MIMAT0026627	MIMAT0003332	
mir-660	white	MI0003684	MIMAT0003338	MIMAT0022711	
mir-670	white	MI0003933	MIMAT0010357	MIMAT0026640	
mir-671	white	MI0003760	MIMAT0003880	MIMAT0004819	
mir-675	white	MI0005416	MIMAT0004284	MIMAT0006790	
mir-676	white	MI0016436	MIMAT0018203	MIMAT0018204	
mir-708	white	MI0005543	MIMAT0004926	MIMAT0004927	
mir-744	white	MI0005559	MIMAT0004945	MIMAT0004946	
mir-758	white	MI0003757	MIMAT0022929	MIMAT0003879	
mir-760	white	MI0005567			MIMAT0004957
mir-769	white	MI0003834	MIMAT0003886	MIMAT0003887	
mir-802	white	MI0003906			MIMAT0004185
mir-873	white	MI0005564	MIMAT0004953	MIMAT0022717	
mir-874	white	MI0005532	MIMAT0026718	MIMAT0004911	
mir-875	white	MI0005541	MIMAT0004922	MIMAT0004923	
mir-885	white	MI0005560	MIMAT0004947	MIMAT0004948	
mir-887	white	MI0005562	MIMAT0026720	MIMAT0004951	
mir-888	white	MI0005537	MIMAT0004916	MIMAT0004917	
mir-889	white	MI0005540	MIMAT0026719	MIMAT0004921	
mir-890	white	MI0005533			MIMAT0004912
mir-892a	white	MI0005528			MIMAT0004907
mir-892b	white	MI0005538			MIMAT0004918
mir-892c	white	MI0022560	MIMAT0025857	MIMAT0025858	
mir-934	white	MI0005756			MIMAT0004977
mir-942	white	MI0005767	MIMAT0004985	MIMAT0026734	
mir-944	white	MI0005769			MIMAT0004987
mir-1179	white	MI0006272			MIMAT0005824
mir-1180	white	MI0006273	MIMAT0026735	MIMAT0005825	
mir-1185-1	white	MI0003844	MIMAT0005798	MIMAT0022838	
mir-1185-2	white	MI0003821	MIMAT0005798	MIMAT0022713	
mir-1193	white	MI0014205			MIMAT0015049
mir-1197	white	MI0006656			MIMAT0005955
mir-1245b	white	MI0017431	MIMAT0019950	MIMAT0019951	
mir-1247	white	MI0006382	MIMAT0005899	MIMAT0022721	
mir-1249	white	MI0006384	MIMAT0032029	MIMAT0005901	
mir-1251	white	MI0006386	MIMAT0005903	MIMAT0026741	
mir-1252	white	MI0006434	MIMAT0005944	MIMAT0026744	
mir-1256	white	MI0006390			MIMAT0005907
mir-1264	white	MI0003758			MIMAT0005791
mir-1266	white	MI0006403	MIMAT0005920	MIMAT0026742	
mir-1269a	white	MI0006406			MIMAT0005923
mir-1270	white	MI0006407			MIMAT0005924
mir-1271	white	MI0003814	MIMAT0005796	MIMAT0022712	
mir-1277	white	MI0006419	MIMAT0022724	MIMAT0005933	
mir-1278	white	MI0006425			MIMAT0005936
mir-1283-1	white	MI0003832			MIMAT0005799
mir-1283-2	white	MI0006430			MIMAT0005799
mir-1287	white	MI0006349	MIMAT0005878	MIMAT0026738	
mir-1295a	white	MI0006357			MIMAT0005885
mir-1296	white	MI0003780	MIMAT0005794	MIMAT0026637	
mir-1298	white	MI0003938	MIMAT0005800	MIMAT0026641	
mir-1301	white	MI0003815	MIMAT0026639	MIMAT0005797	
mir-1307	white	MI0006444	MIMAT0022727	MIMAT0005951	
mir-1343	white	MI0017320	MIMAT0027038	MIMAT0019776	
mir-1908	white	MI0008329	MIMAT0007881	MIMAT0026916	
mir-1911	white	MI0008332	MIMAT0007885	MIMAT0007886	
mir-1913	white	MI0008334			MIMAT0007888
mir-2115	white	MI0010634	MIMAT0011158	MIMAT0011159	
mir-2116	white	MI0010635	MIMAT0011160	MIMAT0011161	
mir-2277	white	MI0011284	MIMAT0017352	MIMAT0011777	
mir-2278	white	MI0011285			MIMAT0011778
mir-2355	white	MI0015873	MIMAT0016895	MIMAT0017950	
mir-2467	white	MI0017432	MIMAT0019952	MIMAT0019953	
mir-2681	white	MI0012062	MIMAT0013515	MIMAT0013516	
mir-3059*	white				
mir-3085*	white				
mir-3121	white	MI0014137	MIMAT0019199	MIMAT0014983	
